代码,证券简称,相关资料, 融资余额(元) ,融券余额(元),融资买入额(元),融资偿还额(元),融资净买额(元),融券余量,融券卖出量,融券偿还量,融资融券余额(元)
600016,民生银行,详细 数据 资金流, 90.92 亿 ,8333.10 万,6.62 亿,4.69 亿,1.93 亿,970.09 万,160.74 万,23.23 万,91.75 亿
601009,南京银行,详细 数据 资金流, 17.71 亿 ,459.96 万,3.11 亿,1.93 亿,1.18 亿,38.30 万,14.03 万,11.20 万,17.76 亿
600487,亨通光电,详细 数据 资金流, 3.74 亿 ,0,1.82 亿,6402.64 万,1.18 亿,0,0,0,3.74 亿
601166,兴业银行,详细 数据 资金流, 114.26 亿 ,2.68 亿,6.51 亿,5.37 亿,1.14 亿,1473.09 万,287.99 万,159.89 万,116.94 亿
601328,交通银行,详细 数据 资金流, 17.77 亿 ,1.20 亿,3.56 亿,2.47 亿,1.09 亿,1884.00 万,364.46 万,170.93 万,18.97 亿
600326,西藏天路,详细 数据 资金流, 4.96 亿 ,29.40 万,3.62 亿,2.77 亿,8533.30 万,2.50 万,0,0,4.96 亿
510900,H股ETF,详细数据 资金流, 89.03 亿 ,0,1.88 亿,1.08 亿,8010.30 万,0,0,0,89.03 亿
600111,北方稀土,详细 数据 资金流, 19.38 亿 ,1429.57 万,3.76 亿,2.97 亿,7828.31 万,105.97 万,43.20 万,3.32 万,19.52 亿
600230,沧州大化,详细 数据 资金流, 3.67 亿 ,106.24 万,2.20 亿,1.42 亿,7811.44 万,3.18 万,0,1.00 万,3.68 亿
601818,光大银行,详细 数据 资金流, 18.00 亿 ,3850.45 万,3.42 亿,2.64 亿,7795.22 万,889.25 万,662.44 万,102.89 万,18.38 亿
600516,方大炭素,详细 数据 资金流, 23.43 亿 ,770.78 万,7.63 亿,6.96 亿,6755.02 万,39.69 万,6.90 万,13.54 万,23.51 亿
600348,阳泉煤业,详细 数据 资金流, 7.55 亿 ,287.95 万,1.51 亿,8445.94 万,6696.66 万,38.19 万,18.30 万,4.50 万,7.58 亿
600926,杭州银行,详细 数据 资金流, 1.22 亿 ,0,9914.01 万,4124.97 万,5789.04 万,0,0,0,1.22 亿
600525,长园集团,详细 数据 资金流, 5.06 亿 ,83.66 万,1.13 亿,5752.85 万,5520.54 万,5.73 万,3.23 万,8.15 万,5.07 亿
600089,特变电工,详细 数据 资金流, 16.52 亿 ,1128.33 万,1.52 亿,9886.84 万,5293.12 万,117.78 万,1.55 万,2.08 万,16.63 亿
600373,中文传媒,详细 数据 资金流, 8.81 亿 ,30.18 万,7183.50 万,2591.70 万,4591.80 万,1.46 万,600,2.52 万,8.81 亿
600967,内蒙一机,详细 数据 资金流, 8.19 亿 ,21.24 万,1.23 亿,7742.84 万,4564.58 万,1.50 万,1.50 万,0,8.19 亿
600010,包钢股份,详细 数据 资金流, 15.19 亿 ,518.95 万,1.43 亿,9712.04 万,4543.51 万,220.83 万,107.18 万,5000,15.24 亿
601688,华泰证券,详细 数据 资金流, 21.94 亿 ,5617.54 万,2.54 亿,2.15 亿,3905.09 万,302.34 万,32.25 万,116.64 万,22.50 亿
601933,永辉超市,详细 数据 资金流, 10.77 亿 ,413.74 万,1.12 亿,7276.38 万,3875.17 万,61.66 万,1900,4600,10.81 亿
600705,中航资本,详细 数据 资金流, 21.27 亿 ,267.67 万,1.24 亿,8544.33 万,3846.21 万,46.96 万,0,29.76 万,21.29 亿
601939,建设银行,详细 数据 资金流, 14.67 亿 ,685.19 万,1.35 亿,9732.46 万,3738.45 万,105.09 万,52.32 万,5.16 万,14.73 亿
601169,北京银行,详细 数据 资金流, 15.05 亿 ,4677.90 万,1.45 亿,1.14 亿,3121.73 万,590.64 万,242.31 万,8.90 万,15.52 亿
600409,三友化工,详细 数据 资金流, 5.19 亿 ,21.49 万,7973.42 万,4957.91 万,3015.52 万,2.09 万,0,1.26 万,5.20 亿
601186,中国铁建,详细 数据 资金流, 18.76 亿 ,1359.51 万,2.08 亿,1.78 亿,2999.64 万,105.47 万,39.39 万,18.70 万,18.90 亿
